"Term"	"Overlap"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Z.score"	"Combined.Score"	"Genes"
"20"	"regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)"	"2/30"	0.00608563252260121	0.0748395701077122	0.0054444042449477	0.0666964228335437	-1.87225106936127	9.55189658196403	"CDC6;CDC25C"
"21"	"negative regulation of translation (GO:0017148)"	"2/48"	0.0150834396519613	0.100935783294809	0.0129255838481985	0.0965955845609016	-2.25811439376093	9.47088820803626	"DHFR;TYMS"
"22"	"chromosome segregation (GO:0007059)"	"2/48"	0.0150834396519613	0.100935783294809	0.0129255838481985	0.0965955845609016	-1.97194422732014	8.27064535837184	"NUF2;SKA1"
"23"	"protein sumoylation (GO:0016925)"	"2/68"	0.0289774862244057	0.104419881768861	0.0243924465515832	0.0965955845609016	-1.67363218859071	5.92672670359102	"CDCA8;AURKB"
"24"	"negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436)"	"2/72"	0.0321918898377432	0.107099941190953	0.02704446997037	0.0965955845609016	-1.50238083017437	5.16224171926564	"CCNB1;FBXO5"
"25"	"osteoblast differentiation (GO:0001649)"	"2/66"	0.0274218602014798	0.100935783294809	0.0231092300380847	0.0965955845609016	-1.34484516574515	4.83662101220825	"MYOC;FIGNL1"
"26"	"positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition (GO:0051437)"	"2/77"	0.0363969969338549	0.108709497040814	0.0305154855381195	0.10029890163888	-1.450320979548	4.8053035554512	"CCNB1;FBXO5"
"27"	"DNA replication (GO:0006260)"	"2/106"	0.0644362956054172	0.131146813408673	0.0537418460558261	0.118221460724841	-1.1259342154586	3.08739967616045	"CDC6;CDC25C"
"28"	"regulation of signal transduction by p53 class mediator (GO:1901796)"	"2/124"	0.0844856680360477	0.150680624435425	0.070460093364097	0.131070926365471	-1.04258573890208	2.57641011187845	"AURKB;AURKA"
"29"	"extracellular matrix organization (GO:0030198)"	"2/142"	0.106143541372039	0.173234270352479	0.0886329911408431	0.150328504582018	-0.868070358589871	1.94704964105657	"MFAP5;MFAP2"
"30"	"nervous system development (GO:0007399)"	"2/247"	0.250618069565713	0.294945075067132	0.212973614219979	0.259434101384303	-0.620154136672686	0.858184881225473	"WNT8B;TSHR"
"31"	"negative regulation of cell proliferation (GO:0008285)"	"2/276"	0.292555522987432	0.328650035563804	0.250100610567515	0.286539110120398	-0.566594082427171	0.696401244601366	"CDC6;IFIT3"
"32"	"negative regulation of apoptotic process (GO:0043066)"	"2/323"	0.359758270277918	0.393912536443543	0.310607416878274	0.340095462784439	-0.563912110186709	0.576500288936636	"FIGNL1;IFIT3"
"33"	"protein phosphorylation (GO:0006468)"	"2/309"	0.339922622488727	0.374564418411145	0.292615494361279	0.32659664854517	-0.481038043197982	0.519057976026807	"AURKB;AURKA"
"34"	"signal transduction (GO:0007165)"	"2/861"	0.854835815195179	0.859805790864918	0.808860792579495	0.816840178951213	-0.813415029761627	0.127580777843743	"OPN1SW;WNT8B"
"35"	"negative regulation of transcription from RNA polymerase II promoter (GO:0000122)"	"1/473"	0.845954971121958	0.855849181310519	0.812118559419703	0.816840178951213	-0.452697060945367	0.0757313049108586	"AURKB"
"36"	"positive regulation of cell proliferation (GO:0008284)"	"1/326"	0.723175183105021	0.735937098100992	0.682466716686696	0.694510246981167	-0.225369543230693	0.0730431221853169	"TSHR"
"37"	"cell-cell signaling (GO:0007267)"	"1/280"	0.667745358542612	0.683549982413443	0.626235752732811	0.641057900726487	-0.166347630310963	0.0671792206697739	"TSHR"
"38"	"G-protein coupled receptor signaling pathway (GO:0007186)"	"1/556"	0.889574709792291	0.889574709792291	0.860654349394418	0.860654349394418	-0.470382847016656	0.0550403363890429	"TSHR"
"39"	"intracellular signal transduction (GO:0035556)"	"1/238"	0.607641774533018	0.625726351156024	0.566449578589414	0.583308196999814	-0.105996510601381	0.0528042559585988	"MELK"
"40"	"positive regulation of apoptotic process (GO:0043065)"	"1/231"	0.596630465330257	0.618066290431943	0.55561378242217	0.575575954245721	-0.0736378460570236	0.0380308063399845	"MELK"
"41"	"apoptotic process (GO:0006915)"	"1/195"	0.53499817068107	0.55755833450497	0.495559364744531	0.516456446390384	0.0101315286052811	-0.00633718959777646	"MELK"
"42"	"proteolysis (GO:0006508)"	"1/175"	0.496832584186818	0.522997096086159	0.458834114487809	0.483069473645475	0.0878737142878686	-0.0614678531603711	"CAPN9"
"43"	"cell surface receptor signaling pathway (GO:0007166)"	"1/176"	0.498812259272926	0.522997096086159	0.460731000875742	0.483069473645475	0.0928190804221337	-0.0645580362013361	"TSHR"
"44"	"cilium assembly (GO:0060271)"	"1/155"	0.455577899318365	0.483527463693725	0.419494765884471	0.445230641092107	0.152674337908879	-0.120030817494646	"SPAG16"
"45"	"spermatogenesis (GO:0007283)"	"1/136"	0.413300350361142	0.444105345419115	0.379535594080802	0.407823961341483	0.186802024264273	-0.165054665181887	"DDX4"
"46"	"positive regulation of cell migration (GO:0030335)"	"1/144"	0.431482548572601	0.460780746315185	0.396678476524743	0.423613434807288	0.200929571125074	-0.168886973338323	"MYOC"
"47"	"oxidation-reduction process (GO:0055114)"	"1/119"	0.372735686334849	0.405555180729112	0.341508115080104	0.371578012005396	0.294908301159858	-0.291040792967118	"DHFR"
"48"	"protein complex assembly (GO:0006461)"	"1/103"	0.332033487113169	0.368216623529348	0.303637860382461	0.334581846153922	0.339640387590248	-0.374460133443835	"CHAF1B"
"49"	"response to virus (GO:0009615)"	"1/100"	0.324116628088349	0.361755978446995	0.296303503393697	0.328592987737882	0.38829194856486	-0.437469847908454	"IFIT3"
"50"	"xenobiotic metabolic process (GO:0006805)"	"1/85"	0.283121540182338	0.324371036102944	0.258482010086826	0.294193340427769	0.448531977834368	-0.565993084970075	"CMBL"
"51"	"G1/S transition of mitotic cell cycle (GO:0000082)"	"1/87"	0.288726201569296	0.328616005733475	0.263637578523798	0.298100007089001	0.483244946298552	-0.600323811221832	"CDC6"
"52"	"positive regulation of sequence-specific DNA binding transcription factor activity (GO:0051091)"	"1/88"	0.291512288869991	0.328650035563804	0.266202184261504	0.29904531089117	0.498091876854583	-0.613984466256112	"NEUROG2"
"53"	"negative regulation of protein kinase activity (GO:0006469)"	"1/78"	0.263159730246406	0.303510888884188	0.240157666115942	0.276981841587053	0.55949179269372	-0.746918237668077	"DEPTOR"
"54"	"transforming growth factor beta receptor signaling pathway (GO:0007179)"	"1/75"	0.25443761145469	0.297416937713928	0.232169317916811	0.271387108105461	0.573952026506671	-0.78556791752193	"LTBP2"
"55"	"defense response to virus (GO:0051607)"	"1/71"	0.242649396164386	0.289505831285785	0.221390153815189	0.262332168561834	0.557470847148717	-0.789455478636941	"IFIT3"
"56"	"retrograde transport, endosome to Golgi (GO:0042147)"	"1/70"	0.239673708732142	0.287941330629587	0.218672295289715	0.260898669552557	0.561214683274884	-0.801682170373786	"FAM109B"
"57"	"neuron projection development (GO:0031175)"	"1/73"	0.248566323267785	0.29453406798169	0.22679812829178	0.266912082955633	0.581100452198692	-0.808918312891518	"MYOC"
"58"	"extracellular matrix disassembly (GO:0022617)"	"1/76"	0.257356249670902	0.298809605322591	0.234841195017208	0.272667964684409	0.601423180553124	-0.816308055459911	"CMA1"
"59"	"sensory perception of sound (GO:0007605)"	"1/69"	0.236686480060015	0.286340986366312	0.215945147973061	0.259434101384303	0.614676386127435	-0.8857602790707	"MYO1A"
"60"	"Wnt signaling pathway (GO:0016055)"	"1/67"	0.230677222183564	0.283029499558557	0.210462862626614	0.258227483931944	0.608485477358886	-0.892487465165942	"WNT8B"
"61"	"axonogenesis (GO:0007409)"	"1/69"	0.236686480060015	0.286340986366312	0.215945147973061	0.259434101384303	0.639482550872075	-0.921506430871511	"FMOD"
"62"	"positive regulation of protein kinase B signaling (GO:0051897)"	"1/61"	0.212367829921273	0.266229236060726	0.193789823644056	0.242939416597259	0.669624795858142	-1.03754040424511	"MYOC"
"63"	"neuron differentiation (GO:0030182)"	"1/63"	0.218518256595648	0.270026131364623	0.199385452690248	0.246383452252949	0.691497650580658	-1.05168889784146	"WNT8B"
"64"	"negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)"	"1/56"	0.196781924764443	0.250318183707711	0.179632677777226	0.228503332760736	0.783521064180337	-1.27373818272953	"AURKA"
"65"	"regulation of protein stability (GO:0031647)"	"1/56"	0.196781924764443	0.250318183707711	0.179632677777226	0.228503332760736	0.821789328977041	-1.33594933733245	"AURKA"
"66"	"retinoid metabolic process (GO:0001523)"	"1/59"	0.206169623531675	0.260345582999853	0.188155906150127	0.237598334043591	0.856080787934515	-1.3517995336173	"OPN1SW"
"67"	"double-strand break repair (GO:0006302)"	"1/54"	0.190462660211885	0.245895822512359	0.173901913821465	0.224515157396369	0.893935943410502	-1.48241318204911	"EME1"
"68"	"positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)"	"1/51"	0.180891632132106	0.235295130517701	0.165232198826437	0.214926093210327	0.879079397436966	-1.50310018830915	"MYOC"
"69"	"protein homotetramerization (GO:0051289)"	"1/51"	0.180891632132106	0.235295130517701	0.165232198826437	0.214926093210327	0.957283555224637	-1.63681812623368	"TK1"
"70"	"negative regulation of phosphatase activity (GO:0010923)"	"1/51"	0.180891632132106	0.235295130517701	0.165232198826437	0.214926093210327	1.00806432586993	-1.72364598972583	"PPP1R36"
"71"	"mitotic nuclear envelope disassembly (GO:0007077)"	"1/44"	0.158122661671059	0.215395436764513	0.144654924933482	0.197049622153483	1.08954526542212	-2.00954008085813	"CCNB1"
"72"	"interstrand cross-link repair (GO:0036297)"	"1/46"	0.164691086146757	0.220864789948752	0.15058429488378	0.201946379960418	1.13451255199152	-2.04630187123778	"EME1"
"73"	"RNA secondary structure unwinding (GO:0010501)"	"1/45"	0.161413222525908	0.218160058570173	0.147624658284819	0.199523952213075	1.25871663740375	-2.29563179841979	"DDX4"
"74"	"cellular response to retinoic acid (GO:0071300)"	"1/40"	0.14483247237117	0.202064659033971	0.13267434817737	0.185102114795846	1.22595821673354	-2.36876896502233	"WNT8B"
"75"	"hemopoiesis (GO:0030097)"	"1/35"	0.127928168368441	0.182905563039175	0.117467372446658	0.167949218456792	1.36970897823144	-2.81651388528138	"MELK"
"76"	"positive regulation of focal adhesion assembly (GO:0051894)"	"1/14"	0.0532541258766013	0.124499510495298	0.0506967056275031	0.118221460724841	0.96747544335585	-2.83729587948966	"MYOC"
"77"	"negative regulation of DNA replication (GO:0008156)"	"1/16"	0.0606296805274349	0.12949302137341	0.0572631820417399	0.120811347478305	1.05289665780079	-2.95123851155981	"CDC6"
"78"	"flagellated sperm motility (GO:0030317)"	"1/32"	0.117627693255201	0.176952964636085	0.108218197026838	0.162797809440374	1.42758836093939	-3.05536855749984	"DDX4"
"79"	"regulation of MAPK cascade (GO:0043408)"	"1/34"	0.124507934915286	0.181007333952475	0.114394799290207	0.166305044346267	1.54875136655314	-3.22664665258481	"MYOC"
"80"	"protein secretion (GO:0009306)"	"1/32"	0.117627693255201	0.176952964636085	0.108218197026838	0.162797809440374	1.50861445020809	-3.22878308809032	"LTBP2"
"81"	"cytoplasmic microtubule organization (GO:0031122)"	"1/35"	0.127928168368441	0.182905563039175	0.117467372446658	0.167949218456792	1.59733476003082	-3.28457767494405	"FIGNL1"
"82"	"piRNA metabolic process (GO:0034587)"	"1/15"	0.0569490212122719	0.126310008586193	0.0539855225275285	0.118221460724841	1.16092961131676	-3.32675847324315	"DDX4"
"83"	"folic acid metabolic process (GO:0046655)"	"1/17"	0.0642961579531819	0.131146813408673	0.060529721221633	0.123195785545206	1.21342228800506	-3.32994066805924	"DHFR"
"84"	"DNA repair (GO:0006281)"	"1/121"	0.37764810164618	0.408332009904932	0.346097727621228	0.374218167990452	3.4637616953697	-3.37298503947121	"RAD54L"
"85"	"regulation of mitotic cell cycle (GO:0007346)"	"1/34"	0.124507934915286	0.181007333952475	0.114394799290207	0.166305044346267	1.63661188671236	-3.40969401537556	"FBXO5"
"86"	"endosome organization (GO:0007032)"	"1/31"	0.114167583656522	0.176952964636085	0.105114097929964	0.162797809440374	1.5723234411561	-3.41208003987309	"FAM109B"
"87"	"protein processing (GO:0016485)"	"1/49"	0.174448976352717	0.232151330069385	0.159402959647727	0.212128553992745	1.96435672935827	-3.43000842452076	"CMA1"
"88"	"positive regulation of mitotic cell cycle (GO:0045931)"	"1/18"	0.0679485074319425	0.135115997537081	0.063785176996015	0.126837191038053	1.30816212669359	-3.51765463594113	"CCNB1"
"89"	"axoneme assembly (GO:0035082)"	"1/12"	0.0458214095502295	0.114885563075213	0.0440854508777627	0.110533086983376	1.18223605962018	-3.64483831119069	"SPAG16"
"90"	"cellular response to UV (GO:0034644)"	"1/40"	0.14483247237117	0.202064659033971	0.13267434817737	0.185102114795846	1.92603785415128	-3.72144713588015	"AURKB"
"91"	"positive regulation of substrate adhesion-dependent cell spreading (GO:1900026)"	"1/24"	0.0895689124940437	0.154954218614696	0.0830872130496952	0.143740878575973	1.54513073449246	-3.72800951022638	"MYOC"
"92"	"nucleobase-containing compound metabolic process (GO:0006139)"	"1/30"	0.110694080322727	0.17568876968653	0.101999420005511	0.16188898771517	1.6968303434608	-3.73469799037472	"TK1"
"93"	"type I interferon signaling pathway (GO:0060337)"	"1/62"	0.215448992943753	0.268148746613448	0.19659240826795	0.244679759930614	2.44283011076935	-3.74982016549518	"IFIT3"
"94"	"DNA methylation involved in gamete generation (GO:0043046)"	"1/17"	0.0642961579531819	0.131146813408673	0.060529721221633	0.123195785545206	1.36697956584927	-3.75134105721031	"DDX4"
"95"	"cell growth (GO:0016049)"	"1/38"	0.138109923495281	0.195844399710522	0.126622597607019	0.17955499496733	1.93511921952699	-3.83096589855377	"TYMS"
"96"	"regulation of inflammatory response (GO:0050727)"	"1/44"	0.158122661671059	0.215395436764513	0.144654924933482	0.197049622153483	2.09244934341057	-3.85928052389798	"CMA1"
"97"	"positive regulation of telomerase activity (GO:0051973)"	"1/33"	0.12107446006855	0.179024628990249	0.111311752465035	0.164589172448299	1.8324870035458	-3.86902061065085	"AURKB"
"98"	"triglyceride metabolic process (GO:0006641)"	"1/21"	0.078821324538075	0.145064778139223	0.0734854113713005	0.133820801760368	1.53033275901803	-3.88792010337211	"PNLIPRP2"
"99"	"positive regulation of stress fiber assembly (GO:0051496)"	"1/32"	0.117627693255201	0.176952964636085	0.108218197026838	0.162797809440374	1.83545375616489	-3.92829463224328	"MYOC"
"100"	"positive regulation of cAMP biosynthetic process (GO:0030819)"	"1/30"	0.110694080322727	0.17568876968653	0.101999420005511	0.16188898771517	1.78819854476328	-3.93579802321156	"TSHR"
"101"	"male meiotic nuclear division (GO:0007140)"	"1/16"	0.0606296805274349	0.12949302137341	0.0572631820417399	0.120811347478305	1.43321486237538	-4.0172593063567	"DDX4"
"102"	"cellular response to ionizing radiation (GO:0071479)"	"1/28"	0.103706687519492	0.170869113722592	0.0957381864062349	0.156251945738478	1.77804271951338	-4.02938027769935	"FIGNL1"
"103"	"mitotic chromosome condensation (GO:0007076)"	"1/13"	0.0495449401719994	0.11904548124661	0.0473966941759948	0.11388372350621	1.38642179875547	-4.16602439527669	"NCAPG"
"104"	"adenylate cyclase-activating G-protein coupled receptor signaling pathway (GO:0007189)"	"1/28"	0.103706687519492	0.170869113722592	0.0957381864062349	0.156251945738478	1.85038363545457	-4.19331844226938	"TSHR"
"105"	"activation of adenylate cyclase activity (GO:0007190)"	"1/33"	0.12107446006855	0.179024628990249	0.111311752465035	0.164589172448299	1.99951002768839	-4.22166459754435	"TSHR"
"106"	"DNA recombination (GO:0006310)"	"1/27"	0.100192695141256	0.168284818052788	0.09259155982652	0.154022498557577	1.84357022670066	-4.24142826996429	"RAD54L"
"107"	"replication fork processing (GO:0031297)"	"1/27"	0.100192695141256	0.168284818052788	0.09259155982652	0.154022498557577	1.85407872558886	-4.26560475297199	"EME1"
"108"	"angiotensin maturation (GO:0002003)"	"1/12"	0.0458214095502295	0.114885563075213	0.0440854508777627	0.110533086983376	1.39660158738828	-4.30572805638995	"CMA1"
"109"	"positive regulation of telomere maintenance via telomerase (GO:0032212)"	"1/32"	0.117627693255201	0.176952964636085	0.108218197026838	0.162797809440374	2.04589597784217	-4.37868955340953	"AURKB"
"110"	"negative regulation of Rho protein signal transduction (GO:0035024)"	"1/12"	0.0458214095502295	0.114885563075213	0.0440854508777627	0.110533086983376	1.42526765807319	-4.39410566237942	"MYOC"
"111"	"keratan sulfate biosynthetic process (GO:0018146)"	"1/29"	0.107207132057603	0.173334895756686	0.0988741279584492	0.15986190782067	1.9919868979576	-4.44809180756098	"FMOD"
"112"	"cell fate commitment (GO:0045165)"	"1/25"	0.0931238596738161	0.159509185381883	0.0862661089492619	0.147762741071508	1.88628753074576	-4.47771620995858	"WNT8B"
"113"	"regulation of acrosome reaction (GO:0060046)"	"1/10"	0.0383310943323102	0.108709497040814	0.0374291189815835	0.106151435800229	1.44824743566859	-4.72345010429889	"SPINK2"
"114"	"amino acid transport (GO:0006865)"	"1/32"	0.117627693255201	0.176952964636085	0.108218197026838	0.162797809440374	2.37278900749193	-5.07831607866399	"SLC6A12"
"115"	"negative regulation of TOR signaling (GO:0032007)"	"1/24"	0.0895689124940437	0.154954218614696	0.0830872130496952	0.143740878575973	2.14486164616787	-5.17500845497075	"DEPTOR"
"116"	"positive regulation of mitotic nuclear division (GO:0045840)"	"1/23"	0.086000209296194	0.151816696002465	0.0798974889010439	0.141043526325312	2.25020655712845	-5.52066925377871	"AURKA"
"117"	"beta-catenin destruction complex disassembly (GO:1904886)"	"1/22"	0.0824176975587295	0.148523559142294	0.0766969004137316	0.136789317232738	2.33462728257472	-5.82712484669635	"WNT8B"
"118"	"negative regulation of serine-type endopeptidase activity (GO:1900004)"	"1/9"	0.0345641996106278	0.108709497040814	0.0340839551904748	0.105295075856288	1.79119784608775	-6.02726759480494	"SPINK2"
"119"	"cell division (GO:0051301)"	"1/22"	0.0824176975587295	0.148523559142294	0.0766969004137316	0.136789317232738	2.44409635374105	-6.10035473195436	"SKA1"
"120"	"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)"	"1/41"	0.14817430939561	0.205073244203524	0.135684806727336	0.187787772510632	3.19918663239103	-6.1084179661699	"TSHR"
"121"	"meiotic cell cycle (GO:0051321)"	"1/16"	0.0606296805274349	0.12949302137341	0.0572631820417399	0.120811347478305	2.37599159090544	-6.65983487958709	"RAD54L"
"122"	"DNA metabolic process (GO:0006259)"	"1/20"	0.0752110372906287	0.141429450557378	0.0702629854401931	0.131070926365471	2.59565460826676	-6.71614542891592	"TK1"
"123"	"DNA replication checkpoint (GO:0000076)"	"1/8"	0.0307827397122075	0.104419881768861	0.0307274091726047	0.10029890163888	1.94551159594629	-6.77193899085667	"CDC6"
"124"	"abscission (GO:0009838)"	"1/6"	0.0231759018422278	0.100935783294809	0.0239800187230996	0.0965955845609016	1.89083287643912	-7.11830934159987	"AURKB"
"125"	"tetrahydrofolate metabolic process (GO:0046653)"	"1/7"	0.0269866590516197	0.100935783294809	0.0273594430259201	0.0965955845609016	1.9973738477954	-7.21533854314879	"DHFR"
"126"	"response to retinoic acid (GO:0032526)"	"1/19"	0.0715867827051682	0.136093553934001	0.0670295861740696	0.127429872616638	2.74236015293302	-7.23117816697825	"WNT8B"
"127"	"centrosome duplication (GO:0051298)"	"1/19"	0.0715867827051682	0.136093553934001	0.0670295861740696	0.127429872616638	2.7784660266872	-7.32638375319991	"SASS6"
"128"	"hormone-mediated signaling pathway (GO:0009755)"	"1/21"	0.078821324538075	0.145064778139223	0.0734854113713005	0.133820801760368	2.89165584161554	-7.34645900533713	"TSHR"
"129"	"cleavage furrow formation (GO:0036089)"	"1/7"	0.0269866590516197	0.100935783294809	0.0273594430259201	0.0965955845609016	2.07435555874621	-7.4934282491665	"AURKB"
"130"	"regulation of cytokinesis (GO:0032465)"	"1/18"	0.0679485074319425	0.135115997537081	0.063785176996015	0.126837191038053	2.81403397309866	-7.56695171735764	"AURKA"
"131"	"chromosome organization (GO:0051276)"	"1/7"	0.0269866590516197	0.100935783294809	0.0273594430259201	0.0965955845609016	2.20916076486424	-7.98040028026331	"CDCA8"
"132"	"protein targeting (GO:0006605)"	"1/19"	0.0715867827051682	0.136093553934001	0.0670295861740696	0.127429872616638	3.20727773726948	-8.4570936914955	"LTBP2"
"133"	"positive regulation of telomere capping (GO:1904355)"	"1/17"	0.0642961579531819	0.131146813408673	0.060529721221633	0.123195785545206	3.10648110993376	-8.52497756533965	"AURKB"
"134"	"positive regulation of nitric-oxide synthase activity (GO:0051000)"	"1/13"	0.0495449401719994	0.11904548124661	0.0473966941759948	0.11388372350621	2.86262419805945	-8.60182828510793	"DHFR"
"135"	"negative regulation of stress fiber assembly (GO:0051497)"	"1/15"	0.0569490212122719	0.126310008586193	0.0539855225275285	0.118221460724841	3.02728473944296	-8.67498344403388	"MYOC"
"136"	"chromatin assembly (GO:0031497)"	"1/7"	0.0269866590516197	0.100935783294809	0.0273594430259201	0.0965955845609016	2.50874572787819	-9.06262478869382	"CHAF1B"
"137"	"ATP metabolic process (GO:0046034)"	"1/19"	0.0715867827051682	0.136093553934001	0.0670295861740696	0.127429872616638	3.43938211243131	-9.06911691110626	"FIGNL1"
"138"	"keratan sulfate catabolic process (GO:0042340)"	"1/12"	0.0458214095502295	0.114885563075213	0.0440854508777627	0.110533086983376	2.9421331196112	-9.07060770454509	"FMOD"
"139"	"gastrulation (GO:0007369)"	"1/7"	0.0269866590516197	0.100935783294809	0.0273594430259201	0.0965955845609016	2.51803543545646	-9.0961830458113	"WNT8B"
"140"	"tetrahydrofolate interconversion (GO:0035999)"	"1/6"	0.0231759018422278	0.100935783294809	0.0239800187230996	0.0965955845609016	2.42488315807078	-9.12881759750763	"TYMS"
"141"	"regulation of double-strand break repair via homologous recombination (GO:0010569)"	"1/14"	0.0532541258766013	0.124499510495298	0.0506967056275031	0.118221460724841	3.13791751607336	-9.20250792893629	"FIGNL1"
"142"	"bone development (GO:0060348)"	"1/15"	0.0569490212122719	0.126310008586193	0.0539855225275285	0.118221460724841	3.22761030531744	-9.24903614041075	"MYOC"
"143"	"definitive hemopoiesis (GO:0060216)"	"1/6"	0.0231759018422278	0.100935783294809	0.0239800187230996	0.0965955845609016	2.63905031196126	-9.93508031442925	"MFAP5"
"144"	"receptor recycling (GO:0001881)"	"1/8"	0.0307827397122075	0.104419881768861	0.0307274091726047	0.10029890163888	2.8693358662982	-9.9875875689125	"FAM109B"
"145"	"centriole replication (GO:0007099)"	"1/15"	0.0569490212122719	0.126310008586193	0.0539855225275285	0.118221460724841	3.71024830553506	-10.6320830030986	"SASS6"
"146"	"DNA replication-dependent nucleosome assembly (GO:0006335)"	"1/10"	0.0383310943323102	0.108709497040814	0.0374291189815835	0.106151435800229	3.27302893497527	-10.6749637413617	"CHAF1B"
"147"	"negative regulation of cell size (GO:0045792)"	"1/6"	0.0231759018422278	0.100935783294809	0.0239800187230996	0.0965955845609016	2.88005271126873	-10.8423681301399	"DEPTOR"
"148"	"supramolecular fiber organization (GO:0097435)"	"1/11"	0.0420834792570484	0.114885563075213	0.0407629383266113	0.110533086983376	3.54621008082803	-11.2347482705733	"LTBP2"
"149"	"intra-S DNA damage checkpoint (GO:0031573)"	"1/13"	0.0495449401719994	0.11904548124661	0.0473966941759948	0.11388372350621	3.8649826294977	-11.6137902161245	"EME1"
