geneSymbol	doid_code	doid_name	geneId	count	pubmeds_max	score_max	score_mean	associationType	source
SKIV2L	DOID:10871	age related macular degeneration	6499	1	4	0.007801716	0.007801716	Biomarker|GeneticVariation	BeFree|GAD
SYN3	DOID:10871	age related macular degeneration	8224	1	5	0.007518212	0.007518212	Biomarker|GeneticVariation	BeFree|GAD
KDR	DOID:10871	age related macular degeneration	3791	1	10	0.007469181	0.007469181	Biomarker|GeneticVariation	BeFree|GAD
LRP6	DOID:10871	age related macular degeneration	4040	1	2	0.007440217	0.007440217	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
CFHR5	DOID:10871	age related macular degeneration	81494	1	3	0.007234707	0.007234707	Biomarker|GeneticVariation	BeFree|GAD
BEST1	DOID:10871	age related macular degeneration	7439	1	16	0.00705865	0.00705865	Biomarker|GeneticVariation	BeFree|LHGDN
FBLN5	DOID:10871	age related macular degeneration	10516	1	8	0.006618667	0.006618667	Biomarker|GeneticVariation	BeFree|GAD
LPL	DOID:10871	age related macular degeneration	4023	1	6	0.006051658	0.006051658	Biomarker|GeneticVariation	BeFree|GAD
AMD1	DOID:10871	age related macular degeneration	262	1	14	0.006002627	0.006002627	Biomarker|GeneticVariation	BeFree|GAD
GSTM1	DOID:10871	age related macular degeneration	2944	1	5	0.005973663	0.005973663	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
GSTP1	DOID:10871	age related macular degeneration	2950	1	3	0.005690158	0.005690158	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
GSTT1	DOID:10871	age related macular degeneration	2952	1	4	0.005690158	0.005690158	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
ELN	DOID:10871	age related macular degeneration	2006	1	4	0.005484649	0.005484649	Biomarker|GeneticVariation	BeFree|GAD
IL6	DOID:10871	age related macular degeneration	3569	1	5	0.005484649	0.005484649	Biomarker|GeneticVariation	BeFree|GAD
CXCL8	DOID:10871	age related macular degeneration	3576	1	3	0.005484649	0.005484649	Biomarker|GeneticVariation	BeFree|GAD
CST3	DOID:10871	age related macular degeneration	1471	1	2	0.005406654	0.005406654	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
OGG1	DOID:10871	age related macular degeneration	4968	1	3	0.005406654	0.005406654	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
SELE	DOID:10871	age related macular degeneration	6401	1	3	0.005406654	0.005406654	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
FSCN2	DOID:10871	age related macular degeneration	25794	1	2	0.005406654	0.005406654	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
EPHX1	DOID:10871	age related macular degeneration	2052	1	2	0.005201144	0.005201144	Biomarker|GeneticVariation	BeFree|GAD
IL1B	DOID:10871	age related macular degeneration	3553	1	4	0.005201144	0.005201144	Biomarker|GeneticVariation	BeFree|GAD
OSBP2	DOID:10871	age related macular degeneration	23762	1	1	0.005123149	0.005123149	Biomarker|GeneticVariation	BeFree|GAD|LHGDN
C5	DOID:10871	age related macular degeneration	727	1	2	0.00491764	0.00491764	Biomarker|GeneticVariation	BeFree|GAD
CFHR2	DOID:10871	age related macular degeneration	3080	1	2	0.00491764	0.00491764	Biomarker|GeneticVariation	BeFree|GAD
CFHR4	DOID:10871	age related macular degeneration	10877	1	2	0.00491764	0.00491764	Biomarker|GeneticVariation	BeFree|GAD
PRPH	DOID:10871	age related macular degeneration	5630	1	17	0.004819578	0.004819578	Biomarker|GeneticVariation	BeFree
CCR2	DOID:10871	age related macular degeneration	729230	1	7	0.0043016	0.0043016	Biomarker|GeneticVariation	BeFree|GAD
APOB	DOID:10871	age related macular degeneration	338	1	6	0.00373459	0.00373459	Biomarker|GeneticVariation	BeFree|GAD
PROM1	DOID:10871	age related macular degeneration	8842	1	3	0.003373091	0.003373091	Biomarker|GeneticVariation	BeFree|LHGDN
SCARB1	DOID:10871	age related macular degeneration	949	1	3	0.003167581	0.003167581	Biomarker|GeneticVariation	BeFree|GAD
CD59	DOID:10871	age related macular degeneration	966	1	4	0.003167581	0.003167581	Biomarker|GeneticVariation	BeFree|GAD
CD46	DOID:10871	age related macular degeneration	4179	1	4	0.003167581	0.003167581	Biomarker|GeneticVariation	BeFree|GAD
MMP9	DOID:10871	age related macular degeneration	4318	1	3	0.003167581	0.003167581	Biomarker|GeneticVariation	BeFree|GAD
COL8A1	DOID:10871	age related macular degeneration	1295	1	3	0.002884077	0.002884077	Biomarker|GeneticVariation	BeFree|GAD
CD55	DOID:10871	age related macular degeneration	1604	1	3	0.002884077	0.002884077	Biomarker|GeneticVariation	BeFree|GAD
VTN	DOID:10871	age related macular degeneration	7448	1	3	0.002884077	0.002884077	Biomarker|GeneticVariation	BeFree|GAD
SLC14A2	DOID:10871	age related macular degeneration	8170	1	2	0.002884077	0.002884077	Biomarker|GeneticVariation	BeFree|GAD
TNMD	DOID:10871	age related macular degeneration	64102	1	2	0.002884077	0.002884077	Biomarker|GeneticVariation	BeFree|GAD
AGTR1	DOID:10871	age related macular degeneration	185	1	2	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
AHR	DOID:10871	age related macular degeneration	196	1	2	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
APP	DOID:10871	age related macular degeneration	351	1	2	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
C4BPA	DOID:10871	age related macular degeneration	722	1	2	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
C4BPB	DOID:10871	age related macular degeneration	725	1	2	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
CLU	DOID:10871	age related macular degeneration	1191	1	2	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
ESR1	DOID:10871	age related macular degeneration	2099	1	2	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
GNB3	DOID:10871	age related macular degeneration	2784	1	2	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
HLA-A	DOID:10871	age related macular degeneration	3105	1	1	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
HLA-B	DOID:10871	age related macular degeneration	3106	1	1	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
HLA-DRB1	DOID:10871	age related macular degeneration	3123	1	1	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
IL18	DOID:10871	age related macular degeneration	3606	1	2	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
FADS1	DOID:10871	age related macular degeneration	3992	1	2	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
MBL2	DOID:10871	age related macular degeneration	4153	1	1	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
MGST1	DOID:10871	age related macular degeneration	4257	1	1	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
MMP3	DOID:10871	age related macular degeneration	4314	1	2	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
ND2	DOID:10871	age related macular degeneration	4536	1	1	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
NOS2	DOID:10871	age related macular degeneration	4843	1	1	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
NPHP1	DOID:10871	age related macular degeneration	4867	1	1	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
ICOS	DOID:10871	age related macular degeneration	29851	1	1	0.002600572	0.002600572	Biomarker|GeneticVariation	BeFree|GAD
CDH3	DOID:10871	age related macular degeneration	1001	1	8	0.002268037	0.002268037	Biomarker|GeneticVariation	BeFree
FLT1	DOID:10871	age related macular degeneration	2321	1	5	0.001417523	0.001417523	Biomarker|GeneticVariation	BeFree
TNF	DOID:10871	age related macular degeneration	7124	1	5	0.001417523	0.001417523	Biomarker|GeneticVariation	BeFree
GAA	DOID:10871	age related macular degeneration	2548	1	4	0.001134018	0.001134018	Biomarker|GeneticVariation	BeFree
MFRP	DOID:10871	age related macular degeneration	83552	1	4	0.001134018	0.001134018	Biomarker|GeneticVariation	BeFree
MMP2	DOID:10871	age related macular degeneration	4313	1	3	0.000850514	0.000850514	Biomarker|GeneticVariation	BeFree
TF	DOID:10871	age related macular degeneration	7018	1	3	0.000850514	0.000850514	Biomarker|GeneticVariation	BeFree
CFD	DOID:10871	age related macular degeneration	1675	1	2	0.000567009	0.000567009	Biomarker|GeneticVariation	BeFree
DIAPH2	DOID:10871	age related macular degeneration	1730	1	2	0.000567009	0.000567009	Biomarker|GeneticVariation	BeFree
GABPA	DOID:10871	age related macular degeneration	2551	1	2	0.000567009	0.000567009	Biomarker|GeneticVariation	BeFree
NFE2L2	DOID:10871	age related macular degeneration	4780	1	2	0.000567009	0.000567009	Biomarker|GeneticVariation	BeFree
P2RX7	DOID:10871	age related macular degeneration	5027	1	2	0.000567009	0.000567009	Biomarker|GeneticVariation	BeFree
TFR2	DOID:10871	age related macular degeneration	7036	1	2	0.000567009	0.000567009	Biomarker|GeneticVariation	BeFree
MYOM2	DOID:10871	age related macular degeneration	9172	1	2	0.000567009	0.000567009	Biomarker|GeneticVariation	BeFree
AGBL4	DOID:10871	age related macular degeneration	84871	1	2	0.000567009	0.000567009	Biomarker|GeneticVariation	BeFree
OR10R3P	DOID:10871	age related macular degeneration	391110	1	2	0.000567009	0.000567009	Biomarker|GeneticVariation	BeFree
F2	DOID:10871	age related macular degeneration	2147	1	3	0.006951203	0.006951203	GeneticVariation	GAD
F5	DOID:10871	age related macular degeneration	2153	1	3	0.006951203	0.006951203	GeneticVariation	GAD
MTHFR	DOID:10871	age related macular degeneration	4524	1	3	0.006951203	0.006951203	GeneticVariation	GAD
PLA2G12A	DOID:10871	age related macular degeneration	81579	1	3	0.006951203	0.006951203	GeneticVariation	GAD
AGT	DOID:10871	age related macular degeneration	183	1	2	0.004634135	0.004634135	GeneticVariation	GAD
C7	DOID:10871	age related macular degeneration	730	1	2	0.004634135	0.004634135	GeneticVariation	GAD
CYP1A1	DOID:10871	age related macular degeneration	1543	1	2	0.004634135	0.004634135	GeneticVariation	GAD
F13A1	DOID:10871	age related macular degeneration	2162	1	2	0.004634135	0.004634135	GeneticVariation	GAD
HTR1A	DOID:10871	age related macular degeneration	3350	1	2	0.004634135	0.004634135	GeneticVariation	GAD
IL10	DOID:10871	age related macular degeneration	3586	1	2	0.004634135	0.004634135	GeneticVariation	GAD
MTR	DOID:10871	age related macular degeneration	4548	1	2	0.004634135	0.004634135	GeneticVariation	GAD
MTRR	DOID:10871	age related macular degeneration	4552	1	2	0.004634135	0.004634135	GeneticVariation	GAD
HERPUD1	DOID:10871	age related macular degeneration	9709	1	2	0.004634135	0.004634135	GeneticVariation	GAD
F13B	DOID:10871	age related macular degeneration	2165	1	2	0.002884077	0.002884077	GeneticVariation	BeFree|GAD
RORA	DOID:10871	age related macular degeneration	6095	1	2	0.002884077	0.002884077	GeneticVariation	BeFree|GAD
NELFE	DOID:10871	age related macular degeneration	7936	1	2	0.002884077	0.002884077	GeneticVariation	BeFree|GAD
NOTCH4	DOID:10871	age related macular degeneration	4855	1	1	0.002600572	0.002600572	GeneticVariation	BeFree|GAD
REST	DOID:10871	age related macular degeneration	5978	1	2	0.002600572	0.002600572	GeneticVariation	BeFree|GAD
ROBO1	DOID:10871	age related macular degeneration	6091	1	1	0.002600572	0.002600572	GeneticVariation	BeFree|GAD
XRCC1	DOID:10871	age related macular degeneration	7515	1	1	0.002600572	0.002600572	GeneticVariation	BeFree|GAD
CYP46A1	DOID:10871	age related macular degeneration	10858	1	2	0.002600572	0.002600572	GeneticVariation	BeFree|GAD
TLR7	DOID:10871	age related macular degeneration	51284	1	1	0.002600572	0.002600572	GeneticVariation	BeFree|GAD
FKBPL	DOID:10871	age related macular degeneration	63943	1	1	0.002600572	0.002600572	GeneticVariation	BeFree|GAD
B3GALTL	DOID:10871	age related macular degeneration	145173	1	1	0.002600572	0.002600572	GeneticVariation	BeFree|GAD
ASPM	DOID:10871	age related macular degeneration	259266	1	1	0.002600572	0.002600572	GeneticVariation	BeFree|GAD
A2M	DOID:10871	age related macular degeneration	2	1	1	0.002317068	0.002317068	GeneticVariation	GAD
NAT2	DOID:10871	age related macular degeneration	10	1	1	0.002317068	0.002317068	GeneticVariation	GAD
SERPINA3	DOID:10871	age related macular degeneration	12	1	1	0.002317068	0.002317068	GeneticVariation	GAD
ADCYAP1R1	DOID:10871	age related macular degeneration	117	1	0	0.002317068	0.002317068	GeneticVariation	GAD
ADD3	DOID:10871	age related macular degeneration	120	1	0	0.002317068	0.002317068	GeneticVariation	GAD
PARP1	DOID:10871	age related macular degeneration	142	1	1	0.002317068	0.002317068	GeneticVariation	GAD
AGL	DOID:10871	age related macular degeneration	178	1	0	0.002317068	0.002317068	GeneticVariation	GAD
AIF1	DOID:10871	age related macular degeneration	199	1	0	0.002317068	0.002317068	GeneticVariation	GAD
APOF	DOID:10871	age related macular degeneration	319	1	0	0.002317068	0.002317068	GeneticVariation	GAD
APOC3	DOID:10871	age related macular degeneration	345	1	1	0.002317068	0.002317068	GeneticVariation	GAD
C3AR1	DOID:10871	age related macular degeneration	719	1	1	0.002317068	0.002317068	GeneticVariation	GAD
C5AR1	DOID:10871	age related macular degeneration	728	1	1	0.002317068	0.002317068	GeneticVariation	GAD
C6	DOID:10871	age related macular degeneration	729	1	1	0.002317068	0.002317068	GeneticVariation	GAD
C8A	DOID:10871	age related macular degeneration	731	1	1	0.002317068	0.002317068	GeneticVariation	GAD
C8B	DOID:10871	age related macular degeneration	732	1	1	0.002317068	0.002317068	GeneticVariation	GAD
CAT	DOID:10871	age related macular degeneration	847	1	1	0.002317068	0.002317068	GeneticVariation	GAD
CBS	DOID:10871	age related macular degeneration	875	1	1	0.002317068	0.002317068	GeneticVariation	GAD
CDH11	DOID:10871	age related macular degeneration	1009	1	0	0.002317068	0.002317068	GeneticVariation	GAD
CHM	DOID:10871	age related macular degeneration	1121	1	0	0.002317068	0.002317068	GeneticVariation	GAD
CKB	DOID:10871	age related macular degeneration	1152	1	1	0.002317068	0.002317068	GeneticVariation	GAD
CR1	DOID:10871	age related macular degeneration	1378	1	1	0.002317068	0.002317068	GeneticVariation	GAD
CR2	DOID:10871	age related macular degeneration	1380	1	1	0.002317068	0.002317068	GeneticVariation	GAD
CTRB1	DOID:10871	age related macular degeneration	1504	1	0	0.002317068	0.002317068	GeneticVariation	GAD
CYP1A2	DOID:10871	age related macular degeneration	1544	1	1	0.002317068	0.002317068	GeneticVariation	GAD
CYP2D6	DOID:10871	age related macular degeneration	1565	1	1	0.002317068	0.002317068	GeneticVariation	GAD
CYP2E1	DOID:10871	age related macular degeneration	1571	1	1	0.002317068	0.002317068	GeneticVariation	GAD
CYP3A5	DOID:10871	age related macular degeneration	1577	1	1	0.002317068	0.002317068	GeneticVariation	GAD
DCC	DOID:10871	age related macular degeneration	1630	1	0	0.002317068	0.002317068	GeneticVariation	GAD
DXO	DOID:10871	age related macular degeneration	1797	1	0	0.002317068	0.002317068	GeneticVariation	GAD
ERCC2	DOID:10871	age related macular degeneration	2068	1	1	0.002317068	0.002317068	GeneticVariation	GAD
FBN2	DOID:10871	age related macular degeneration	2201	1	0	0.002317068	0.002317068	GeneticVariation	GAD
FGA	DOID:10871	age related macular degeneration	2243	1	1	0.002317068	0.002317068	GeneticVariation	GAD
FGB	DOID:10871	age related macular degeneration	2244	1	1	0.002317068	0.002317068	GeneticVariation	GAD
FGG	DOID:10871	age related macular degeneration	2266	1	1	0.002317068	0.002317068	GeneticVariation	GAD
GART	DOID:10871	age related macular degeneration	2618	1	0	0.002317068	0.002317068	GeneticVariation	GAD
GJA8	DOID:10871	age related macular degeneration	2703	1	0	0.002317068	0.002317068	GeneticVariation	GAD
GPX1	DOID:10871	age related macular degeneration	2876	1	1	0.002317068	0.002317068	GeneticVariation	GAD
HLA-DQB1	DOID:10871	age related macular degeneration	3119	1	1	0.002317068	0.002317068	GeneticVariation	GAD
IL1A	DOID:10871	age related macular degeneration	3552	1	1	0.002317068	0.002317068	GeneticVariation	GAD
INHBC	DOID:10871	age related macular degeneration	3626	1	0	0.002317068	0.002317068	GeneticVariation	GAD
ITGAM	DOID:10871	age related macular degeneration	3684	1	1	0.002317068	0.002317068	GeneticVariation	GAD
ITGB2	DOID:10871	age related macular degeneration	3689	1	1	0.002317068	0.002317068	GeneticVariation	GAD
ITGB3	DOID:10871	age related macular degeneration	3690	1	1	0.002317068	0.002317068	GeneticVariation	GAD
MAP2	DOID:10871	age related macular degeneration	4133	1	0	0.002317068	0.002317068	GeneticVariation	GAD
MC4R	DOID:10871	age related macular degeneration	4160	1	1	0.002317068	0.002317068	GeneticVariation	GAD
SCGB2A2	DOID:10871	age related macular degeneration	4250	1	0	0.002317068	0.002317068	GeneticVariation	GAD
MSH5	DOID:10871	age related macular degeneration	4439	1	0	0.002317068	0.002317068	GeneticVariation	GAD
MSN	DOID:10871	age related macular degeneration	4478	1	0	0.002317068	0.002317068	GeneticVariation	GAD
ND4	DOID:10871	age related macular degeneration	4538	1	1	0.002317068	0.002317068	GeneticVariation	GAD
ND5	DOID:10871	age related macular degeneration	4540	1	1	0.002317068	0.002317068	GeneticVariation	GAD
ND6	DOID:10871	age related macular degeneration	4541	1	1	0.002317068	0.002317068	GeneticVariation	GAD
NCAM2	DOID:10871	age related macular degeneration	4685	1	0	0.002317068	0.002317068	GeneticVariation	GAD
NDUFS4	DOID:10871	age related macular degeneration	4724	1	0	0.002317068	0.002317068	GeneticVariation	GAD
NFIB	DOID:10871	age related macular degeneration	4781	1	0	0.002317068	0.002317068	GeneticVariation	GAD
PFKFB2	DOID:10871	age related macular degeneration	5208	1	0	0.002317068	0.002317068	GeneticVariation	GAD
MAP2K1	DOID:10871	age related macular degeneration	5604	1	0	0.002317068	0.002317068	GeneticVariation	GAD
MASP1	DOID:10871	age related macular degeneration	5648	1	1	0.002317068	0.002317068	GeneticVariation	GAD
PSEN1	DOID:10871	age related macular degeneration	5663	1	1	0.002317068	0.002317068	GeneticVariation	GAD
PSEN2	DOID:10871	age related macular degeneration	5664	1	1	0.002317068	0.002317068	GeneticVariation	GAD
RET	DOID:10871	age related macular degeneration	5979	1	1	0.002317068	0.002317068	GeneticVariation	GAD
RFX5	DOID:10871	age related macular degeneration	5993	1	1	0.002317068	0.002317068	GeneticVariation	GAD
RNF5	DOID:10871	age related macular degeneration	6048	1	0	0.002317068	0.002317068	GeneticVariation	GAD
RREB1	DOID:10871	age related macular degeneration	6239	1	1	0.002317068	0.002317068	GeneticVariation	GAD
ATXN1	DOID:10871	age related macular degeneration	6310	1	0	0.002317068	0.002317068	GeneticVariation	GAD
SCN4A	DOID:10871	age related macular degeneration	6329	1	0	0.002317068	0.002317068	GeneticVariation	GAD
SET	DOID:10871	age related macular degeneration	6418	1	0	0.002317068	0.002317068	GeneticVariation	GAD
SOX2	DOID:10871	age related macular degeneration	6657	1	0	0.002317068	0.002317068	GeneticVariation	GAD
STAT2	DOID:10871	age related macular degeneration	6773	1	0	0.002317068	0.002317068	GeneticVariation	GAD
TCF7L2	DOID:10871	age related macular degeneration	6934	1	1	0.002317068	0.002317068	GeneticVariation	GAD
TSPAN8	DOID:10871	age related macular degeneration	7103	1	0	0.002317068	0.002317068	GeneticVariation	GAD
UQCRFS1	DOID:10871	age related macular degeneration	7386	1	0	0.002317068	0.002317068	GeneticVariation	GAD
RNF112	DOID:10871	age related macular degeneration	7732	1	0	0.002317068	0.002317068	GeneticVariation	GAD
STK19	DOID:10871	age related macular degeneration	8859	1	0	0.002317068	0.002317068	GeneticVariation	GAD
AIP	DOID:10871	age related macular degeneration	9049	1	0	0.002317068	0.002317068	GeneticVariation	GAD
MTA1	DOID:10871	age related macular degeneration	9112	1	0	0.002317068	0.002317068	GeneticVariation	GAD
RIMS3	DOID:10871	age related macular degeneration	9783	1	0	0.002317068	0.002317068	GeneticVariation	GAD
EDIL3	DOID:10871	age related macular degeneration	10085	1	0	0.002317068	0.002317068	GeneticVariation	GAD
SNAPC5	DOID:10871	age related macular degeneration	10302	1	0	0.002317068	0.002317068	GeneticVariation	GAD
CAP2	DOID:10871	age related macular degeneration	10486	1	0	0.002317068	0.002317068	GeneticVariation	GAD
AGPAT1	DOID:10871	age related macular degeneration	10554	1	0	0.002317068	0.002317068	GeneticVariation	GAD
SCGB1D1	DOID:10871	age related macular degeneration	10648	1	0	0.002317068	0.002317068	GeneticVariation	GAD
PTGES3	DOID:10871	age related macular degeneration	10728	1	1	0.002317068	0.002317068	GeneticVariation	GAD
MASP2	DOID:10871	age related macular degeneration	10747	1	1	0.002317068	0.002317068	GeneticVariation	GAD
EHMT2	DOID:10871	age related macular degeneration	10919	1	0	0.002317068	0.002317068	GeneticVariation	GAD
TOMM34	DOID:10871	age related macular degeneration	10953	1	0	0.002317068	0.002317068	GeneticVariation	GAD
CAPN10	DOID:10871	age related macular degeneration	11132	1	1	0.002317068	0.002317068	GeneticVariation	GAD
ADAMTS7	DOID:10871	age related macular degeneration	11173	1	0	0.002317068	0.002317068	GeneticVariation	GAD
KLF12	DOID:10871	age related macular degeneration	11278	1	0	0.002317068	0.002317068	GeneticVariation	GAD
CNKSR2	DOID:10871	age related macular degeneration	22866	1	0	0.002317068	0.002317068	GeneticVariation	GAD
CD93	DOID:10871	age related macular degeneration	22918	1	0	0.002317068	0.002317068	GeneticVariation	GAD
MYO16	DOID:10871	age related macular degeneration	23026	1	0	0.002317068	0.002317068	GeneticVariation	GAD
KIF21B	DOID:10871	age related macular degeneration	23046	1	0	0.002317068	0.002317068	GeneticVariation	GAD
FRAT2	DOID:10871	age related macular degeneration	23401	1	0	0.002317068	0.002317068	GeneticVariation	GAD
CRB1	DOID:10871	age related macular degeneration	23418	1	0	0.002317068	0.002317068	GeneticVariation	GAD
SLC35A3	DOID:10871	age related macular degeneration	23443	1	0	0.002317068	0.002317068	GeneticVariation	GAD
CAPN7	DOID:10871	age related macular degeneration	23473	1	0	0.002317068	0.002317068	GeneticVariation	GAD
SETBP1	DOID:10871	age related macular degeneration	26040	1	0	0.002317068	0.002317068	GeneticVariation	GAD
PTPN22	DOID:10871	age related macular degeneration	26191	1	1	0.002317068	0.002317068	GeneticVariation	GAD
DAZAP1	DOID:10871	age related macular degeneration	26528	1	0	0.002317068	0.002317068	GeneticVariation	GAD
